Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,494.4,503.9,492.0,499.75,1866326.0,,0.0,0.0,499.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,501.4,505.1,483.0,485.55,952911.0,-2.8,0.0,0.0,492.3,,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,483.0,491.5,480.0,489.5,994043.0,0.8,0.0,0.0,491.27,,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,491.35,492.5,482.6,490.65,833555.0,0.2,0.0,0.0,491.09,,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,491.0,493.5,484.0,489.95,708829.0,-0.1,488.1799999999999,0.0,490.81,,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,490.55,493.0,487.5,490.5,703600.0,0.1,491.3000000000001,0.0,490.75,0.0,-0.02,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-09,488.35,491.9,485.55,490.1,639802.0,-0.1,490.3499999999999,0.0,490.63,0.0,-0.02,0.0,0.0,491.3000000000001,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-10,488.0,498.0,488.0,492.0,610335.0,0.4,491.21000000000015,0.0,490.86,1.0,-0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Abv_20EMA,Reg5_Abv_Reg10,
2014-01-13,488.7,499.4,488.0,494.05,1093710.0,0.4,493.2599999999997,0.0,491.37,2.0,0.01,491.21000000000015,0.0,0.0,0.0,494.05,479.05,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-14,492.0,496.5,486.05,487.4,448596.0,-1.3,490.35999999999984,489.84727272727315,490.78,0.0,-0.01,0.0,0.0,493.2599999999997,491.3000000000001,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Reg5_Abv_Reg10,
2014-01-15,486.0,494.7,486.0,493.5,597708.0,1.3,491.85000000000014,492.4909090909092,491.16,1.0,0.01,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Cross_Abv_20EMA,Cross_Down,
2014-01-16,495.0,496.85,490.7,495.6,738459.0,0.4,493.84000000000015,493.3609090909088,491.77,2.0,0.03,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_GT_20EMA,Cross_Up,
2014-01-17,497.45,500.0,488.1,491.55,827389.0,-0.8,493.0599999999996,493.0736363636361,491.74,0.0,0.02,0.0,0.0,493.84000000000015,493.2599999999997,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Cross_Blw_20EMA,Cross_Down,
2014-01-20,491.5,492.5,483.75,490.0,1396371.0,-0.3,492.2600000000003,492.3690909090907,491.52,0.0,0.01,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-21,478.0,482.9,472.3,479.25,1628124.0,-2.2,483.1600000000005,487.84636363636406,490.02,0.0,-0.07,0.0,0.0,0.0,0.0,,478.0,0.0,,-3242.100000000002,96552.31591399999,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-22,478.85,478.85,466.85,472.6,2795089.0,-1.4,474.1400000000008,481.72000000000014,487.94,0.0,-0.17,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-23,473.9,474.5,468.15,473.0,941667.0,0.1,470.38000000000056,476.6281818181815,486.2,0.0,-0.24,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-24,469.25,479.55,465.0,478.1,1170322.0,1.1,472.57999999999987,474.61090909090876,485.27,0.0,-0.24,470.38000000000056,491.21000000000015,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-27,474.0,478.9,470.5,476.4,941676.0,-0.4,475.8299999999997,473.17454545454467,484.28,0.0,-0.26,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Up,
2014-01-28,475.25,480.7,471.0,476.8,902422.0,0.1,477.7400000000008,471.5090909090908,483.46,0.0,-0.27,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-29,478.1,484.75,473.75,482.9,1046075.0,1.3,481.13999999999913,473.7490909090911,483.4,0.0,-0.22,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-30,478.0,480.0,463.95,477.5,2915597.0,-1.1,479.40000000000066,475.1218181818185,482.77,0.0,-0.21,0.0,0.0,481.13999999999913,493.84000000000015,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-31,474.15,478.9,467.05,471.7,1681719.0,-1.2,475.32000000000005,474.6681818181818,481.59,0.0,-0.25,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
