Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,156.0,161.5,156.0,157.03,11995.0,,0.0,0.0,157.03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,157.05,158.0,155.88,156.92,6973.0,-0.1,0.0,0.0,156.97,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,157.18,160.4,153.86,155.55,51282.0,-0.9,0.0,0.0,156.45,,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,157.12,158.0,153.01,155.14,47696.0,-0.3,0.0,0.0,156.07,,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,155.52,157.19,154.53,155.4,22539.0,0.2,155.0,0.0,155.91,,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,156.08,156.08,154.5,155.54,17568.0,0.1,155.12799999999996,0.0,155.83,0.0,-0.02,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-09,154.61,155.78,153.7,155.04,31882.0,-0.3,155.20999999999995,0.0,155.68,0.0,-0.02,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-10,155.98,156.45,154.92,156.06,21839.0,0.7,155.73200000000006,0.0,155.75,1.0,-0.01,155.20999999999995,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Abv_20EMA,Reg5_Abv_Reg10,
2014-01-13,156.1,157.18,155.52,156.59,14456.0,0.3,156.30599999999995,0.0,155.88,2.0,0.0,155.73200000000006,155.20999999999995,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-14,157.0,157.0,155.01,155.3,3660.0,-0.8,155.91999999999993,155.4345454545455,155.79,0.0,-0.01,0.0,0.0,156.30599999999995,0.0,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Reg5_Abv_Reg10,
2014-01-15,155.4,156.98,153.2,155.49,63626.0,0.1,155.72399999999988,155.5423636363637,155.75,0.0,-0.01,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-16,155.5,160.4,154.88,158.4,36055.0,1.9,157.084,156.71745454545453,156.11,1.0,0.03,155.72399999999988,155.73200000000006,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Abv_20EMA,Reg5_Abv_Reg10,
2014-01-17,156.8,158.4,153.5,157.38,19083.0,-0.6,157.56799999999993,157.1854545454546,156.28,2.0,0.04,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-20,158.0,159.4,155.1,156.95,9000.0,-0.3,157.74199999999996,157.32309090909087,156.36,3.0,0.05,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-21,157.0,160.0,156.78,159.68,11414.0,1.7,158.966,158.357090909091,156.77,4.0,0.09,157.74199999999996,155.72399999999988,0.0,0.0,159.68,155.68,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-22,160.1,161.0,156.52,157.35,10618.0,-1.5,157.9920000000001,158.38072727272714,156.84,5.0,0.08,0.0,0.0,158.966,156.30599999999995,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Cross_Down,
2014-01-23,158.5,158.5,155.01,157.44,6934.0,0.1,157.8640000000002,158.23672727272725,156.91,6.0,0.08,0.0,0.0,0.0,0.0,,155.68,0.0,,-2504.0,97290.0830592,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-01-24,158.49,158.49,153.43,155.06,17340.0,-1.5,156.09199999999998,157.3436363636363,156.7,0.0,0.03,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Reg5_Blw_Reg10,
2014-01-27,154.5,154.5,147.2,149.18,16899.0,-3.8,151.08400000000006,154.57981818181807,155.86,0.0,-0.1,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-28,147.68,154.8,147.5,153.58,23832.0,2.9,151.36200000000028,153.48218181818186,155.61,0.0,-0.12,151.08400000000006,157.74199999999996,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-29,154.5,155.86,149.62,151.22,4131.0,-1.5,150.5119999999998,151.7010909090909,155.13,0.0,-0.16,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-30,148.6,150.88,148.5,149.84,50680.0,-0.9,150.09600000000012,150.25818181818204,154.56,0.0,-0.22,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-31,150.06,155.5,150.0,153.12,7348.0,2.2,152.21600000000018,150.21127272727267,154.41,0.0,-0.2,150.09600000000012,151.08400000000006,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Up,
2014-02-03,154.4,154.4,148.2,149.24,9839.0,-2.5,150.04399999999941,148.97036363636363,153.87,0.0,-0.25,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-04,151.28,152.43,147.5,148.13,5159.0,-0.7,148.95400000000026,148.31254545454547,153.27,0.0,-0.29,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-05,148.94,151.0,147.55,148.43,4978.0,0.2,148.19,147.9223636363637,152.78,0.0,-0.33,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-06,151.5,151.5,147.6,148.32,13154.0,-0.1,147.36599999999987,147.99872727272722,152.32,0.0,-0.35,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-02-07,150.0,150.1,148.0,149.39,3056.0,0.7,148.79999999999995,148.46618181818192,152.02,0.0,-0.35,147.36599999999987,150.09600000000012,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Up,
2014-02-10,150.2,152.0,147.8,148.58,3291.0,-0.5,148.94200000000032,147.78709090909092,151.68,0.0,-0.35,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-11,149.9,150.0,146.0,146.56,1682.0,-1.4,147.55999999999975,147.32290909090898,151.16,0.0,-0.38,0.0,0.0,148.94200000000032,158.966,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-12,148.0,149.5,147.02,148.19,11936.0,1.1,147.5900000000001,147.33272727272734,150.87,0.0,-0.38,147.55999999999975,147.36599999999987,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-13,146.72,149.89,146.72,148.22,8386.0,0.0,147.6419999999999,147.2421818181818,150.6,0.0,-0.37,147.5900000000001,147.55999999999975,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-14,148.22,149.5,146.1,147.54,3107.0,-0.5,147.7339999999998,147.66109090909114,150.3,0.0,-0.37,147.6419999999999,147.5900000000001,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-17,147.5,151.24,147.5,150.38,15060.0,1.9,149.57600000000005,148.5894545454546,150.31,1.0,-0.3,147.7339999999998,147.6419999999999,0.0,0.0,150.38,146.38,0.0,,0.0,0.0,Price_Crs_Abv_Cur_Res,Cross_Abv_20EMA,Reg5_Abv_Reg10,
2014-02-18,155.1,157.8,150.6,155.74,85356.0,3.6,153.4659999999999,151.0852727272725,150.84,2.0,-0.13,0.0,0.0,0.0,0.0,,,148.838605,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-02-19,155.1,155.1,153.48,154.02,7453.0,-1.1,155.14000000000004,152.63181818181815,151.15,3.0,-0.04,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-02-20,154.5,154.78,149.32,151.23,7910.0,-1.8,153.98600000000016,152.8876363636363,151.16,4.0,-0.03,0.0,0.0,155.14000000000004,148.94200000000032,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,Cls_Crs_Abv_F618
2014-02-21,150.51,154.0,150.1,152.96,10910.0,1.1,152.99600000000027,153.7963636363637,151.34,5.0,0.0,0.0,0.0,0.0,0.0,,,149.96,,0.0,0.0,0.0,Close_GT_20EMA,Cross_Down,Cls_Crs_Abv_F618
2014-02-24,152.97,155.0,151.64,152.63,5861.0,-0.2,151.85999999999973,154.2343636363637,151.46,6.0,0.03,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,Cls_Crs_Abv_F50
2014-02-25,151.2,155.6,151.2,155.34,59585.0,1.8,154.04399999999973,154.98363636363626,151.84,7.0,0.1,151.85999999999973,147.7339999999998,0.0,0.0,,,152.34,,0.0,0.0,Price_Crs_Abv_Supp,Close_GT_20EMA,Reg5_Blw_Reg10,Cls_Crs_Abv_F50
2014-02-26,156.0,156.5,152.55,154.79,8926.0,-0.4,155.28999999999937,155.38999999999973,152.12,8.0,0.14,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,Cls_Crs_Abv_F382
2014-02-28,155.5,158.5,155.0,157.15,16071.0,1.5,156.68200000000022,156.25763636363635,152.61,9.0,0.22,0.0,0.0,0.0,0.0,,,153.15,,0.0,0.0,0.0,Close_GT_20EMA,Cross_Up,
