Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,366.0,366.02,360.38,361.28,392768.0,,0.0,0.0,361.28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,361.3,365.72,351.5,353.7,456139.0,-2.1,0.0,0.0,357.3,,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,353.55,358.15,348.3,356.28,572567.0,0.7,0.0,0.0,356.93,,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,355.0,358.5,352.8,357.05,446715.0,0.2,0.0,0.0,356.96,,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,356.0,357.5,350.0,354.08,643794.0,-0.8,354.26800000000003,0.0,356.26,,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,354.5,358.5,351.82,356.45,312983.0,0.7,356.1719999999999,0.0,356.3,1.0,-0.02,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Abv_20EMA,Reg5_Abv_Reg10,
2014-01-09,355.25,357.78,353.32,355.08,307583.0,-0.4,355.18799999999993,0.0,356.07,0.0,-0.03,0.0,0.0,356.1719999999999,0.0,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Reg5_Abv_Reg10,
2014-01-10,352.05,357.4,349.0,350.22,366224.0,-1.4,352.0440000000001,0.0,355.06,0.0,-0.07,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-13,347.58,362.38,347.58,358.45,472492.0,2.3,355.35799999999966,0.0,355.6,1.0,-0.02,352.0440000000001,0.0,0.0,0.0,358.45,347.45,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Cross_Abv_20EMA,Reg5_Abv_Reg10,
2014-01-14,358.0,361.55,353.5,355.65,263826.0,-0.8,355.52399999999983,354.42600000000004,355.61,2.0,-0.02,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-15,357.0,365.58,356.28,364.58,555643.0,2.5,361.682,358.54200000000014,356.89,3.0,0.06,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-16,365.15,367.5,361.5,365.72,551182.0,0.3,366.3499999999999,361.3558181818183,358.09,4.0,0.13,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-17,365.25,368.88,360.0,363.55,323149.0,-0.6,365.6439999999996,363.28036363636375,358.81,5.0,0.15,0.0,0.0,366.3499999999999,356.1719999999999,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-20,362.9,368.75,360.0,364.08,499317.0,0.1,365.882,365.14545454545447,359.47,6.0,0.17,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-21,364.85,366.0,352.0,353.15,1700142.0,-3.0,357.31600000000014,362.257272727273,358.7,0.0,0.07,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Cross_Blw_20EMA,Cross_Down,
2014-01-22,352.5,359.0,349.1,355.15,1320297.0,0.6,354.0219999999998,360.58472727272726,358.28,0.0,0.03,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-23,353.5,355.78,351.6,352.65,337870.0,-0.7,351.56999999999994,357.8454545454545,357.62,0.0,-0.03,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-24,347.5,352.4,340.5,342.38,857803.0,-2.9,344.70199999999994,350.7189090909089,355.88,0.0,-0.16,0.0,0.0,0.0,0.0,,347.45,0.0,,-3058.0,96736.722854,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-27,339.05,341.25,327.27,329.05,1614766.0,-3.9,334.2819999999998,341.06109090909064,352.88,0.0,-0.35,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-28,328.5,335.0,322.52,329.9,1339459.0,0.3,327.0060000000004,332.74054545454544,350.35,0.0,-0.47,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-29,333.5,337.48,331.45,332.0,537280.0,0.6,326.4399999999997,328.336,348.36,0.0,-0.55,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-30,325.05,330.0,323.88,325.02,842363.0,-2.1,325.3159999999995,323.5252727272727,345.86,0.0,-0.65,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Up,
2014-01-31,324.75,330.65,324.38,328.52,557033.0,1.1,327.71000000000026,321.70963636363626,344.02,0.0,-0.7,325.3159999999995,352.0440000000001,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-03,325.65,329.0,324.9,327.48,1159223.0,-0.3,326.9199999999996,321.55145454545476,342.29,0.0,-0.75,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-04,324.0,333.92,321.8,332.65,507935.0,1.6,329.88600000000054,322.9896363636368,341.29,0.0,-0.69,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-05,332.5,335.7,325.18,333.75,831542.0,0.3,333.8019999999999,326.326,340.52,0.0,-0.62,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-06,336.0,338.05,326.25,330.25,1090566.0,-1.0,332.476,329.1205454545452,339.47,0.0,-0.59,0.0,0.0,333.8019999999999,366.3499999999999,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-07,331.0,333.25,326.2,329.42,718389.0,-0.3,331.006,330.7961818181821,338.45,0.0,-0.58,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-10,330.92,330.92,322.0,323.62,739896.0,-1.8,325.4600000000006,328.50909090909045,336.95,0.0,-0.61,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-02-11,324.45,326.0,320.32,323.62,491337.0,0.0,322.7540000000003,326.688181818182,335.62,0.0,-0.64,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-02-12,325.0,328.15,322.05,324.77,522187.0,0.4,322.9840000000007,326.02709090909076,334.54,0.0,-0.64,322.7540000000003,325.3159999999995,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-02-13,324.5,327.05,316.25,318.4,389287.0,-2.0,319.78800000000007,322.1638181818181,332.93,0.0,-0.67,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-02-14,319.0,326.65,315.25,323.23,802791.0,1.5,321.52800000000025,321.0301818181822,331.97,0.0,-0.63,319.78800000000007,322.7540000000003,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Prev_Sup,Close_LT_20EMA,Cross_Up,
2014-02-17,323.6,326.68,321.55,325.38,463833.0,0.7,323.4760000000002,320.7198181818178,331.33,0.0,-0.59,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Prev_Sup,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-18,325.5,341.5,324.02,340.15,1066159.0,4.5,333.9339999999995,326.6603636363634,332.19,1.0,-0.37,0.0,0.0,0.0,0.0,340.15,329.15,0.0,,0.0,0.0,Price_Crs_Abv_Prev_Sup,Cross_Abv_20EMA,Reg5_Abv_Reg10,
2014-02-19,340.0,344.2,335.25,342.95,1117922.0,0.8,343.22600000000057,333.37909090909034,333.24,2.0,-0.2,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-02-20,340.85,341.45,333.38,334.88,569856.0,-2.4,341.4919999999993,336.1081818181815,333.4,3.0,-0.15,0.0,0.0,343.22600000000057,333.8019999999999,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-02-21,335.0,338.9,332.25,336.02,476116.0,0.3,339.07800000000054,338.81254545454567,333.66,4.0,-0.1,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,Cls_Crs_Abv_F382
2014-02-24,334.05,340.42,331.0,338.8,737179.0,0.8,336.6340000000009,340.9572727272727,334.16,5.0,-0.04,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Cross_Down,Cls_Crs_Abv_F382
2014-02-25,340.15,341.7,336.08,337.88,437969.0,-0.3,336.8619999999999,341.9561818181819,334.52,6.0,0.01,336.6340000000009,319.78800000000007,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_GT_20EMA,Reg5_Blw_Reg10,
2014-02-26,337.55,345.45,337.55,342.7,755679.0,1.4,341.5559999999995,344.0723636363641,335.31,7.0,0.08,336.8619999999999,336.6340000000009,0.0,0.0,,,0.0,,0.0,0.0,Price_Abv_Supp,Close_GT_20EMA,Reg5_Blw_Reg10,
