Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,5290.0,5343.0,5290.0,5311.8,6358.0,,0.0,0.0,5311.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,5325.75,5354.0,5193.95,5280.15,25984.0,-0.6,0.0,0.0,5295.18,,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,5365.0,5600.0,5311.0,5333.6,91165.0,1.0,0.0,0.0,5309.29,,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,5376.0,5444.0,5340.0,5387.65,25288.0,1.0,0.0,0.0,5331.91,,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,5413.95,5440.0,5365.0,5381.9,19645.0,-0.1,5388.56,0.0,5344.0,,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,5394.9,5427.9,5379.9,5422.4,20048.0,0.8,5427.7,0.0,5360.54,1.0,0.1,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-09,5425.0,5435.0,5365.0,5372.85,8235.0,-0.9,5402.329999999996,0.0,5362.87,2.0,0.08,0.0,0.0,5427.7,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-10,5390.0,5450.0,5351.0,5405.95,29411.0,0.6,5399.6600000000035,0.0,5370.32,3.0,0.09,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-13,5440.0,5447.95,5380.0,5426.9,17380.0,0.4,5416.709999999993,0.0,5379.39,4.0,0.11,5399.6600000000035,0.0,0.0,0.0,5426.9,5263.9,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-14,5410.0,5414.95,5351.0,5379.45,16904.0,-0.9,5395.139999999997,5424.645454545457,5379.4,5.0,0.09,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Cross_Down,
2014-01-15,5360.0,5400.0,5215.0,5237.15,27664.0,-2.6,5304.880000000001,5366.967272727275,5359.1,0.0,-0.04,0.0,0.0,0.0,0.0,,5263.9,0.0,,-2934.0,96864.770548,0.0,Cross_Blw_20EMA,Reg5_Blw_Reg10,
