Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,286.3,288.5,285.65,286.2,69630.0,,0.0,0.0,286.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,287.65,289.7,284.15,284.95,64764.0,-0.4,0.0,0.0,285.54,,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,283.5,285.5,278.05,281.9,183858.0,-1.1,0.0,0.0,284.21,,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,281.5,287.5,280.8,285.55,122733.0,1.3,0.0,0.0,284.59,,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,286.7,287.9,282.0,283.35,64773.0,-0.8,283.37,0.0,284.29,,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,285.35,286.95,283.75,285.95,200383.0,0.9,285.0299999999999,0.0,284.64,1.0,0.01,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Abv_20EMA,Reg5_Abv_Reg10,
2014-01-09,287.2,293.0,285.25,291.65,282680.0,2.0,289.6599999999999,0.0,285.97,2.0,0.09,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-10,292.0,293.7,284.25,285.65,164492.0,-2.1,288.13,0.0,285.91,0.0,0.06,0.0,0.0,289.6599999999999,0.0,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Reg5_Abv_Reg10,
2014-01-13,285.65,290.95,284.6,285.8,94372.0,0.1,287.3999999999998,0.0,285.89,0.0,0.05,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-14,285.0,286.6,281.1,281.7,61381.0,-1.4,283.28,285.409090909091,285.26,0.0,-0.02,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-01-15,282.5,285.0,281.6,283.7,35893.0,0.7,281.73000000000013,285.0527272727274,285.04,0.0,-0.04,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-16,284.0,284.25,280.3,281.65,39393.0,-0.7,281.6800000000003,283.87454545454534,284.58,0.0,-0.08,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-17,281.5,289.9,281.25,282.05,176151.0,0.1,281.4699999999999,282.40454545454537,284.25,0.0,-0.09,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-20,281.5,285.3,279.1,283.9,113536.0,0.7,283.15000000000003,282.29545454545445,284.2,0.0,-0.08,281.4699999999999,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_LT_20EMA,Cross_Up,
2014-01-21,282.35,285.5,281.95,282.7,46908.0,-0.4,282.85,281.42181818181837,284.02,0.0,-0.09,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
