Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,448.72,449.12,443.8,444.4,1337074.0,,0.0,0.0,444.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,443.85,448.0,435.05,437.5,1376901.0,-1.6,0.0,0.0,440.78,,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,435.8,436.68,427.5,432.12,2933613.0,-1.2,0.0,0.0,437.6,,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,431.05,431.62,425.0,427.48,3043781.0,-1.1,0.0,0.0,434.68,,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,427.3,429.98,420.02,421.05,3957111.0,-1.5,421.16600000000005,0.0,431.38,,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,422.2,428.68,422.2,424.52,2909048.0,0.8,421.12799999999993,0.0,429.93,0.0,-0.17,0.0,0.0,421.16600000000005,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-09,425.22,426.9,422.52,425.35,1899340.0,0.2,422.80399999999986,0.0,429.07,0.0,-0.17,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-10,424.18,438.15,424.0,429.08,3392170.0,0.9,426.99599999999987,0.0,429.07,1.0,-0.12,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Abv_20EMA,Reg5_Abv_Reg10,
2014-01-13,434.12,441.5,434.0,440.2,2756390.0,2.6,436.6119999999996,0.0,430.85,2.0,-0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-14,439.25,442.28,436.22,440.75,2760267.0,0.1,441.44199999999984,431.3703636363639,432.34,3.0,0.08,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-15,442.35,447.5,440.5,442.72,2893960.0,0.4,444.90199999999993,437.4200000000001,433.83,4.0,0.15,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-16,444.35,446.65,441.02,443.08,4123266.0,0.1,445.2699999999999,442.30563636363615,435.09,5.0,0.2,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-17,444.58,448.45,440.12,442.38,3534630.0,-0.2,443.16399999999965,445.56909090909113,436.04,6.0,0.23,0.0,0.0,445.2699999999999,421.16600000000005,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Cross_Down,
2014-01-20,443.45,444.5,433.05,434.88,3789008.0,-1.7,438.3459999999998,444.7539999999999,435.89,0.0,0.17,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Reg5_Blw_Reg10,
2014-01-21,436.32,436.8,431.0,431.52,2241570.0,-0.8,432.7959999999999,441.0885454545459,435.36,0.0,0.1,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-22,431.75,437.68,429.08,436.22,1947009.0,1.1,432.7000000000001,439.1696363636364,435.46,1.0,0.09,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Abv_20EMA,Reg5_Blw_Reg10,
2014-01-23,430.3,435.65,430.3,432.9,3146981.0,-0.8,432.05600000000027,435.63163636363623,435.16,0.0,0.05,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Reg5_Blw_Reg10,
2014-01-24,431.0,437.32,430.55,433.82,2715344.0,0.2,433.7199999999997,432.7456363636363,435.01,0.0,0.02,432.05600000000027,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_LT_20EMA,Cross_Up,
2014-01-27,428.0,430.4,420.18,421.58,2822051.0,-2.8,426.7520000000002,427.5967272727272,433.51,0.0,-0.11,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-01-28,423.5,428.0,421.35,422.42,2645575.0,0.2,421.604000000001,423.86363636363626,432.29,0.0,-0.2,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-29,424.9,426.25,417.5,418.3,2828526.0,-1.0,417.68399999999957,420.10109090909054,430.77,0.0,-0.3,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-30,415.7,416.92,411.1,412.5,3223490.0,-1.4,412.53999999999985,415.7389090909097,428.81,0.0,-0.43,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-31,413.5,416.72,413.08,415.58,2523182.0,0.7,413.69199999999955,413.96872727272734,427.41,0.0,-0.5,412.53999999999985,432.05600000000027,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-02-03,413.1,414.9,409.72,410.45,1880728.0,-1.2,410.5179999999985,410.3881818181816,425.64,0.0,-0.59,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Up,
2014-02-04,407.25,413.32,406.58,410.78,2825803.0,0.1,410.1040000000007,407.5821818181818,424.09,0.0,-0.65,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-05,410.05,410.75,403.45,408.62,2582636.0,-0.5,409.0740000000003,406.101272727273,422.5,0.0,-0.7,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-06,410.0,412.05,404.08,407.92,2474757.0,-0.2,407.2399999999998,405.2200000000001,421.01,0.0,-0.73,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-07,411.05,411.9,405.3,407.22,1933597.0,-0.2,407.13400000000064,405.643454545455,419.62,0.0,-0.75,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-10,407.62,412.8,405.58,410.98,2364740.0,0.9,408.9039999999989,406.3687272727272,418.75,0.0,-0.71,407.13400000000064,412.53999999999985,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-11,411.5,412.5,401.38,402.62,2882244.0,-2.0,405.68399999999997,404.95218181818177,417.13,0.0,-0.74,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-12,404.0,410.95,403.7,408.95,2246719.0,1.6,407.03,405.9783636363644,416.31,0.0,-0.69,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-13,409.45,409.45,402.52,403.7,1978914.0,-1.3,404.88,404.54090909090905,415.06,0.0,-0.7,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-14,405.95,412.0,404.0,411.02,2107250.0,1.8,407.68600000000015,406.7281818181817,414.66,0.0,-0.61,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-17,408.82,411.0,403.52,406.15,2070622.0,-1.2,408.3140000000003,406.45581818181773,413.82,0.0,-0.6,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-18,403.55,408.92,403.55,406.58,1312359.0,0.1,406.82199999999926,406.6325454545448,413.11,0.0,-0.58,0.0,0.0,408.3140000000003,445.2699999999999,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-19,406.5,410.0,405.0,406.12,1401247.0,-0.1,406.7939999999995,406.4474545454539,412.43,0.0,-0.57,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-20,405.65,406.85,401.55,402.72,1838151.0,-0.8,403.1919999999987,405.0841818181815,411.48,0.0,-0.59,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-02-21,403.55,408.0,402.8,405.75,1430079.0,0.8,404.53200000000027,404.9112727272728,410.92,0.0,-0.56,403.1919999999987,407.13400000000064,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-02-24,404.02,407.48,402.65,406.18,1554509.0,0.1,405.23600000000124,405.7190909090909,410.46,0.0,-0.52,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-02-25,407.15,408.0,403.78,405.28,1609074.0,-0.2,405.5659999999996,404.80581818181815,409.96,0.0,-0.51,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Up,
2014-02-26,405.5,408.42,404.12,405.35,3110571.0,0.0,406.01399999999967,405.03763636363647,409.51,0.0,-0.49,405.5659999999996,403.1919999999987,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-02-28,405.35,407.68,396.55,399.98,4331622.0,-1.3,402.03399999999954,402.5607272727275,408.59,0.0,-0.5,0.0,0.0,406.01399999999967,408.3140000000003,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-03-03,400.05,403.4,398.58,401.7,2659675.0,0.4,400.84600000000023,402.34490909090886,407.92,0.0,-0.5,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
