Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,41.4,43.0,41.05,42.55,380467.0,,0.0,0.0,42.55,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,43.0,43.25,41.1,41.45,460202.0,-2.6,0.0,0.0,41.97,,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,41.15,48.2,41.1,46.9,1453154.0,13.1,0.0,0.0,43.78,,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,47.5,48.4,45.5,45.75,1043413.0,-2.5,0.0,0.0,44.35,,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,45.95,46.7,44.05,44.75,520255.0,-2.2,46.02,0.0,44.45,,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,45.05,47.65,44.5,45.8,672554.0,2.3,46.239999999999995,0.0,44.73,1.0,0.07,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-09,45.8,46.8,44.25,44.65,298198.0,-2.5,44.67999999999998,0.0,44.72,0.0,0.05,0.0,0.0,46.239999999999995,0.0,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Reg5_Abv_Reg10,
2014-01-10,45.3,47.95,44.9,45.3,1071116.0,1.5,45.05000000000001,0.0,44.82,1.0,0.05,44.67999999999998,0.0,0.0,0.0,45.3,42.3,0.0,,0.0,0.0,Price_Abv_Supp,Cross_Abv_20EMA,Reg5_Abv_Reg10,
2014-01-13,45.7,47.0,44.65,44.9,446385.0,-0.9,45.03999999999996,0.0,44.83,2.0,0.04,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_GT_20EMA,Reg5_Abv_Reg10,
2014-01-14,45.0,45.4,42.9,43.1,232820.0,-4.0,43.71999999999997,45.02909090909093,44.57,0.0,-0.01,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Cross_Down,
2014-01-15,43.3,44.3,42.3,42.95,217763.0,-0.3,43.05999999999997,44.09545454545456,44.34,0.0,-0.04,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-16,43.25,43.65,42.5,42.65,110298.0,-0.7,42.330000000000055,42.81636363636365,44.11,0.0,-0.08,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-17,42.7,42.8,39.15,39.5,296776.0,-7.4,40.37,41.473636363636345,43.51,0.0,-0.19,0.0,0.0,0.0,0.0,,42.3,0.0,,-6621.0,93173.047174,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
